Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2021/22

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Arvika;1784;Värmlands län;17;Enskild;Engelska;83,3;85,4;80,6;60;35;25;~100;~100;100,0;16,6;16,4;16,8;
Arvika;1784;Värmlands län;17;Enskild;Matematik;88,9;90,2;87,1;64;37;27;90,6;~100;~100;11,2;10,7;11,9;
Arvika;1784;Värmlands län;17;Enskild;Svenska;91,7;95,1;87,1;66;39;27;100,0;100,0;100,0;13,9;14,4;13,1;
Askersund;1882;Örebro län;18;Samtliga;Matematik;85,7;84,6;86,7;96;44;52;68,8;65,9;71,2;8,3;7,9;8,6;
Askersund;1882;Örebro län;18;Samtliga;Engelska;84,8;82,7;86,7;95;43;52;92,6;..;~100;13,7;12,3;14,9;
Askersund;1882;Örebro län;18;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Samtliga;Svenska;88,7;85,7;91,2;94;42;52;84,0;83,3;84,6;10,7;10,7;10,8;
Askersund;1882;Örebro län;18;Kommunal;Svenska;88,7;85,7;91,2;94;42;52;84,0;83,3;84,6;10,7;10,7;10,8;
Askersund;1882;Örebro län;18;Kommunal;Engelska;84,8;82,7;86,7;95;43;52;92,6;..;~100;13,7;12,3;14,9;
Askersund;1882;Örebro län;18;Kommunal;Matematik;85,7;84,6;86,7;96;44;52;68,8;65,9;71,2;8,3;7,9;8,6;
Askersund;1882;Örebro län;18;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska som andraspråk;91,7;100,0;85,0;33;16;17;75,8;~100;..;8,7;8,9;8,5;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska;93,9;91,2;97,6;184;104;80;85,3;90,4;78,8;11,2;12,1;9,9;
Avesta;2084;Dalarnas län;20;Samtliga;Engelska;89,2;90,0;88,2;207;117;90;96,1;~100;~100;14,5;14,3;14,6;
Avesta;2084;Dalarnas län;20;Samtliga;Matematik;94,0;91,5;97,1;218;119;99;76,6;78,2;74,7;9,8;9,8;9,7;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska som andraspråk;91,7;100,0;85,0;33;16;17;75,8;~100;..;8,7;8,9;8,5;
Avesta;2084;Dalarnas län;20;Kommunal;Engelska;89,2;90,0;88,2;207;117;90;96,1;~100;~100;14,5;14,3;14,6;
Avesta;2084;Dalarnas län;20;Kommunal;Matematik;94,0;91,5;97,1;218;119;99;76,6;78,2;74,7;9,8;9,8;9,7;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska;93,9;91,2;97,6;184;104;80;85,3;90,4;78,8;11,2;12,1;9,9;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska som andraspråk;93,3;..;90,9;14;..;..;~100;..;..;7,9;..;10,0;
