Statistik från Skolverket, https://www.skolverket.se

Grundskola - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2024/25

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel (%) elever behöriga till yrkesprog.;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;
Degerfors;1862;Örebro län;18;Kommunal;Flickor;43;79,1;79,1;79,1;76,7;
Degerfors;1862;Örebro län;18;Kommunal;Pojkar;36;61,1;61,1;55,6;55,6;
Degerfors;1862;Örebro län;18;Kommunal;Samtliga;79;70,9;70,9;68,4;67,1;
Dorotea;2425;Västerbottens län;24;Samtliga;Flickor;11;~100;~100;~100;~100;
Dorotea;2425;Västerbottens län;24;Samtliga;Pojkar;21;100,0;100,0;..;~100;
Dorotea;2425;Västerbottens län;24;Samtliga;Samtliga;32;~100;~100;78,1;~100;
Dorotea;2425;Västerbottens län;24;Kommunal;Flickor;11;~100;~100;~100;~100;
Dorotea;2425;Västerbottens län;24;Kommunal;Pojkar;21;100,0;100,0;..;~100;
Dorotea;2425;Västerbottens län;24;Kommunal;Samtliga;32;~100;~100;78,1;~100;
Eda;1730;Värmlands län;17;Samtliga;Flickor;36;61,1;55,6;55,6;52,8;
Eda;1730;Värmlands län;17;Samtliga;Pojkar;43;83,7;79,1;74,4;76,7;
Eda;1730;Värmlands län;17;Samtliga;Samtliga;79;73,4;68,4;65,8;65,8;
Eda;1730;Värmlands län;17;Kommunal;Flickor;36;61,1;55,6;55,6;52,8;
Eda;1730;Värmlands län;17;Kommunal;Pojkar;43;83,7;79,1;74,4;76,7;
Eda;1730;Värmlands län;17;Kommunal;Samtliga;79;73,4;68,4;65,8;65,8;
Ekerö;0125;Stockholms län;01;Samtliga;Flickor;198;89,9;88,4;87,9;87,4;
Ekerö;0125;Stockholms län;01;Samtliga;Pojkar;218;89,0;88,1;87,2;84,9;
Ekerö;0125;Stockholms län;01;Samtliga;Samtliga;416;89,4;88,2;87,5;86,1;
Ekerö;0125;Stockholms län;01;Kommunal;Flickor;180;89,4;87,8;87,2;86,7;
Ekerö;0125;Stockholms län;01;Kommunal;Pojkar;205;89,3;88,3;87,3;84,9;
Ekerö;0125;Stockholms län;01;Kommunal;Samtliga;385;89,4;88,1;87,3;85,7;
Ekerö;0125;Stockholms län;01;Enskild;Flickor;18;~100;~100;~100;~100;
Ekerö;0125;Stockholms län;01;Enskild;Pojkar;13;~100;~100;~100;~100;
Ekerö;0125;Stockholms län;01;Enskild;Samtliga;31;~100;~100;~100;~100;
Eksjö;0686;Jönköpings län;06;Samtliga;Flickor;112;82,1;80,4;80,4;76,8;
Eksjö;0686;Jönköpings län;06;Samtliga;Pojkar;112;74,1;73,2;72,3;65,2;
Eksjö;0686;Jönköpings län;06;Samtliga;Samtliga;224;78,1;76,8;76,3;71,0;
Eksjö;0686;Jönköpings län;06;Kommunal;Flickor;111;82,9;81,1;81,1;77,5;
Eksjö;0686;Jönköpings län;06;Kommunal;Pojkar;109;74,3;74,3;73,4;67,0;
Eksjö;0686;Jönköpings län;06;Kommunal;Samtliga;220;78,6;77,7;77,3;72,3;
Eksjö;0686;Jönköpings län;06;Enskild;Flickor;..;.;.;.;.;
Eksjö;0686;Jönköpings län;06;Enskild;Pojkar;..;..;..;..;.;
Eksjö;0686;Jönköpings län;06;Enskild;Samtliga;..;..;..;..;.;
Emmaboda;0862;Kalmar län;08;Samtliga;Flickor;51;74,5;74,5;72,5;68,6;
Emmaboda;0862;Kalmar län;08;Samtliga;Pojkar;44;84,1;84,1;79,5;54,5;
Emmaboda;0862;Kalmar län;08;Samtliga;Samtliga;95;78,9;78,9;75,8;62,1;
Emmaboda;0862;Kalmar län;08;Kommunal;Flickor;51;74,5;74,5;72,5;68,6;
Emmaboda;0862;Kalmar län;08;Kommunal;Pojkar;44;84,1;84,1;79,5;54,5;
Emmaboda;0862;Kalmar län;08;Kommunal;Samtliga;95;78,9;78,9;75,8;62,1;
