Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2021/22
Valt uttag: 2022-02-11

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Lycksele;2481;Västerbottens län;24;Samtliga;92,2;66,0;71,5;10,1;109;85;78,0;11;
Lycksele;2481;Västerbottens län;24;Kommunal;92,2;66,0;71,5;10,1;109;85;78,0;11;
Lysekil;1484;Västra Götalands län;14;Samtliga;104,1;75,0;72,0;16,8;119;94;79,0;17;
Lysekil;1484;Västra Götalands län;14;Kommunal;104,1;75,0;72,0;16,8;119;94;79,0;17;
Malmö;1280;Skåne län;12;Samtliga;2 415,6;1 638,9;67,8;294,5;2 647;2 091;79,0;315;
Malmö;1280;Skåne län;12;Kommunal;2 067,1;1 427,8;69,1;243,8;2 247;1 816;80,8;262;
Malmö;1280;Skåne län;12;Enskild;348,5;211,1;60,6;50,7;410;280;68,3;53;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;83,3;43,3;52,0;8,0;100;56;56,0;8;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;83,3;43,3;52,0;8,0;100;56;56,0;8;
Malå;2418;Västerbottens län;24;Samtliga;36,9;26,0;70,4;3,0;43;36;83,7;3;
Malå;2418;Västerbottens län;24;Kommunal;36,9;26,0;70,4;3,0;43;36;83,7;3;
Mariestad;1493;Västra Götalands län;14;Samtliga;191,7;133,9;69,8;20,6;223;176;78,9;22;
Mariestad;1493;Västra Götalands län;14;Kommunal;162,9;116,5;71,5;17,2;192;155;80,7;18;
Mariestad;1493;Västra Götalands län;14;Enskild;28,8;17,4;60,3;3,5;31;21;67,7;4;
Mark;1463;Västra Götalands län;14;Samtliga;308,2;209,6;68,0;39,9;358;275;76,8;42;
Mark;1463;Västra Götalands län;14;Kommunal;291,7;203,3;69,7;38,1;332;264;79,5;40;
Mark;1463;Västra Götalands län;14;Enskild;16,5;6,3;38,1;1,8;26;11;42,3;2;
Markaryd;0767;Kronobergs län;07;Samtliga;83,6;55,5;66,5;8,5;102;74;72,5;9;
Markaryd;0767;Kronobergs län;07;Kommunal;83,6;55,5;66,5;8,5;102;74;72,5;9;
Mellerud;1461;Västra Götalands län;14;Samtliga;78,9;54,2;68,7;4,6;104;75;72,1;5;
Mellerud;1461;Västra Götalands län;14;Kommunal;78,9;54,2;68,7;4,6;104;75;72,1;5;
Mjölby;0586;Östergötlands län;05;Samtliga;253,4;194,8;76,9;27,3;289;249;86,2;29;
Mjölby;0586;Östergötlands län;05;Kommunal;253,4;194,8;76,9;27,3;289;249;86,2;29;
Mora;2062;Dalarnas län;20;Samtliga;174,1;119,4;68,6;18,2;201;157;78,1;20;
Mora;2062;Dalarnas län;20;Kommunal;168,6;114,5;67,9;17,7;193;150;77,7;19;
Mora;2062;Dalarnas län;20;Enskild;5,5;4,8;87,7;0,5;11;9;81,8;1;
Motala;0583;Östergötlands län;05;Samtliga;326,8;246,9;75,5;57,0;377;316;83,8;60;
Motala;0583;Östergötlands län;05;Kommunal;303,5;232,6;76,6;52,0;351;299;85,2;55;
Motala;0583;Östergötlands län;05;Enskild;23,3;14,3;61,4;5,0;26;17;65,4;5;
Mullsjö;0642;Jönköpings län;06;Samtliga;64,0;48,5;75,8;10,1;78;64;82,1;11;
Mullsjö;0642;Jönköpings län;06;Kommunal;64,0;48,5;75,8;10,1;78;64;82,1;11;
Munkedal;1430;Västra Götalands län;14;Samtliga;90,2;64,7;71,7;10,8;103;81;78,6;11;
Munkedal;1430;Västra Götalands län;14;Kommunal;90,2;64,7;71,7;10,8;103;81;78,6;11;
Munkfors;1762;Värmlands län;17;Samtliga;26,6;14,5;54,4;3,0;28;19;67,9;3;
Munkfors;1762;Värmlands län;17;Kommunal;26,6;14,5;54,4;3,0;28;19;67,9;3;
Mölndal;1481;Västra Götalands län;14;Samtliga;524,8;418,6;79,8;59,5;597;537;89,9;66;
Mölndal;1481;Västra Götalands län;14;Kommunal;488,3;394,5;80,8;55,6;554;504;91,0;62;
Mölndal;1481;Västra Götalands län;14;Enskild;36,6;24,1;65,9;3,9;43;33;76,7;4;
Mönsterås;0861;Kalmar län;08;Samtliga;110,4;78,4;71,0;12,3;138;110;79,7;13;
Mönsterås;0861;Kalmar län;08;Kommunal;110,4;78,4;71,0;12,3;138;110;79,7;13;
Mörbylånga;0840;Kalmar län;08;Samtliga;154,2;121,7;78,9;19,4;182;162;89,0;22;
Mörbylånga;0840;Kalmar län;08;Kommunal;124,2;100,0;80,5;16,7;145;134;92,4;19;
Mörbylånga;0840;Kalmar län;08;Enskild;30,0;21,7;72,3;2,7;37;28;75,7;3;
Nacka;0182;Stockholms län;01;Samtliga;751,1;582,3;77,5;102,2;820;711;86,7;107;
Nacka;0182;Stockholms län;01;Kommunal;555,2;447,9;80,7;76,3;598;537;89,8;80;
Nacka;0182;Stockholms län;01;Enskild;196,0;134,4;68,6;25,8;222;174;78,4;27;
Nora;1884;Örebro län;18;Samtliga;85,7;65,3;76,2;7,8;106;87;82,1;11;
Nora;1884;Örebro län;18;Kommunal;80,4;61,6;76,6;6,8;101;82;81,2;10;
Nora;1884;Örebro län;18;Enskild;5,4;3,7;69,3;1,0;8;7;87,5;1;
Norberg;1962;Västmanlands län;19;Samtliga;50,3;30,0;59,6;9,5;53;33;62,3;10;
Norberg;1962;Västmanlands län;19;Kommunal;50,3;30,0;59,6;9,5;53;33;62,3;10;
Nordanstig;2132;Gävleborgs län;21;Samtliga;61,3;40,3;65,8;6,8;77;54;70,1;7;
Nordanstig;2132;Gävleborgs län;21;Kommunal;57,4;38,7;67,5;6,8;70;51;72,9;7;
Nordanstig;2132;Gävleborgs län;21;Enskild;3,9;1,6;40,5;.;7;3;42,9;.;
