Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Boden;2582;Norrbottens län;25;Samtliga;Svenska som andraspråk;18;..;..;66,7;..;..;7,4;..;..;62,1;..;..;
Boden;2582;Norrbottens län;25;Samtliga;Svenska;221;104;117;93,2;~100;..;12,7;13,9;11,6;91,7;94,5;89,3;
Boden;2582;Norrbottens län;25;Samtliga;Matematik;241;112;129;78,8;79,5;78,3;10,2;9,9;10,4;89,3;91,1;87,8;
Boden;2582;Norrbottens län;25;Samtliga;Engelska;239;112;127;95,8;..;~100;14,8;14,6;14,9;88,5;91,1;86,4;
Boden;2582;Norrbottens län;25;Kommunal;Svenska;153;67;86;94,8;~100;..;13,0;13,8;12,4;90,5;93,1;88,7;
Boden;2582;Norrbottens län;25;Kommunal;Matematik;172;74;98;80,2;79,7;80,6;10,6;10,2;10,8;87,3;88,1;86,7;
Boden;2582;Norrbottens län;25;Kommunal;Engelska;169;75;94;94,7;..;~100;14,7;14,4;15,0;85,8;89,3;83,2;
Boden;2582;Norrbottens län;25;Kommunal;Svenska som andraspråk;17;..;..;64,7;..;..;7,2;..;..;60,7;..;..;
Boden;2582;Norrbottens län;25;Enskild;Engelska;70;37;33;~100;100,0;~100;14,8;15,0;14,6;95,9;94,9;97,1;
Boden;2582;Norrbottens län;25;Enskild;Matematik;69;38;31;75,4;78,9;71,0;9,3;9,3;9,2;94,5;97,4;91,2;
Boden;2582;Norrbottens län;25;Enskild;Svenska;68;37;31;89,7;100,0;77,4;12,0;14,1;9,4;94,4;97,4;91,2;
Boden;2582;Norrbottens län;25;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska;91;45;46;~100;100,0;~100;12,8;14,1;11,6;82,0;86,5;78,0;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Engelska;104;51;53;~100;~100;~100;15,6;16,0;15,3;92,0;96,2;88,3;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Matematik;101;48;53;93,1;~100;~100;12,9;13,6;12,3;89,4;90,6;88,3;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Engelska;104;51;53;~100;~100;~100;15,6;16,0;15,3;92,0;96,2;88,3;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska;91;45;46;~100;100,0;~100;12,8;14,1;11,6;82,0;86,5;78,0;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Matematik;101;48;53;93,1;~100;~100;12,9;13,6;12,3;89,4;90,6;88,3;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska;192;101;91;88,0;~100;..;11,4;13,2;9,4;81,7;82,1;81,3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska som andraspråk;44;17;27;84,1;~100;..;10,2;11,0;9,7;91,7;94,4;90,0;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Matematik;236;122;114;72,0;72,1;71,9;8,8;8,9;8,6;83,4;86,5;80,3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Engelska;242;126;116;92,6;94,4;90,5;14,2;14,6;13,7;85,5;89,4;81,7;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska som andraspråk;38;15;23;81,6;~100;..;9,9;10,7;9,3;90,5;93,8;88,5;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska;88;52;36;92,0;100,0;80,6;12,1;13,9;9,5;73,9;78,8;67,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Matematik;129;70;59;65,9;68,6;62,7;8,0;8,5;7,4;80,1;85,4;74,7;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Engelska;131;72;59;88,5;93,1;83,1;13,5;14,3;12,5;81,4;87,8;74,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;Engelska;111;54;57;~100;~100;~100;14,9;15,0;14,8;91,0;91,5;90,5;
Bollnäs;2183;Gävleborgs län;21;Enskild;Matematik;107;52;55;79,4;76,9;81,8;9,6;9,4;9,9;87,7;88,1;87,3;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska;104;49;55;84,6;~100;..;10,8;12,5;9,3;89,7;86,0;93,2;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;Engelska;74;39;35;~100;~100;~100;14,3;15,6;12,8;92,5;92,9;92,1;
Borgholm;0885;Kalmar län;08;Samtliga;Matematik;67;34;33;85,1;~100;..;11,3;12,3;10,3;83,8;81,0;86,8;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska;71;37;34;91,5;~100;~100;12,9;14,7;11,0;92,2;92,5;91,9;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borgholm;0885;Kalmar län;08;Kommunal;Engelska;74;39;35;~100;~100;~100;14,3;15,6;12,8;92,5;92,9;92,1;
Borgholm;0885;Kalmar län;08;Kommunal;Matematik;67;34;33;85,1;~100;..;11,3;12,3;10,3;83,8;81,0;86,8;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska;71;37;34;91,5;~100;~100;12,9;14,7;11,0;92,2;92,5;91,9;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska;460;241;219;91,1;96,3;85,4;12,1;13,3;10,8;84,9;89,3;80,5;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska som andraspråk;114;57;57;72,8;78,9;66,7;8,4;9,2;7,7;90,5;91,9;89,1;
Borlänge;2081;Dalarnas län;20;Samtliga;Matematik;572;291;281;73,4;68,4;78,6;9,5;8,8;10,2;85,6;87,7;83,6;
Borlänge;2081;Dalarnas län;20;Samtliga;Engelska;590;300;290;95,8;95,3;96,2;14,8;14,6;15,1;88,3;90,4;86,3;
Borlänge;2081;Dalarnas län;20;Kommunal;Matematik;490;255;235;72,9;67,8;78,3;9,4;8,7;10,3;86,1;88,9;83,3;
Borlänge;2081;Dalarnas län;20;Kommunal;Engelska;502;258;244;95,6;94,6;96,7;14,6;14,4;14,9;88,2;89,9;86,5;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska som andraspråk;95;48;47;68,4;75,0;61,7;7,9;8,9;7,0;88,8;90,6;87,0;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska;390;210;180;91,0;95,7;85,6;12,1;13,2;10,8;84,4;89,7;78,9;
Borlänge;2081;Dalarnas län;20;Enskild;Engelska;88;42;46;~100;100,0;~100;16,0;15,8;16,2;88,9;93,3;85,2;
Borlänge;2081;Dalarnas län;20;Enskild;Matematik;82;36;46;76,8;72,2;80,4;9,8;9,4;10,1;82,8;80,0;85,2;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska som andraspråk;19;..;..;~100;..;..;10,9;..;11,0;100,0;..;100,0;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska;70;31;39;91,4;100,0;84,6;12,3;13,7;11,2;87,5;86,1;88,6;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska;1 102;528;574;91,8;94,9;89,0;12,5;13,5;11,5;93,5;94,6;92,5;
Borås;1490;Västra Götalands län;14;Samtliga;Engelska;1 276;606;670;96,9;97,2;96,6;15,3;15,2;15,4;91,0;93,0;89,3;
Borås;1490;Västra Götalands län;14;Samtliga;Matematik;1 276;601;675;82,1;80,2;83,9;11,0;10,6;11,3;91,0;92,2;90,0;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska som andraspråk;196;87;109;62,8;69,0;57,8;7,4;8,2;6,7;88,3;91,6;85,8;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska som andraspråk;166;71;95;59,0;67,6;52,6;6,8;7,9;6,0;86,9;89,9;84,8;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska;851;391;460;91,0;94,4;88,0;12,2;13,3;11,2;92,7;93,5;92,0;
Borås;1490;Västra Götalands län;14;Kommunal;Engelska;993;453;540;96,2;96,5;95,9;14,9;14,7;15,0;89,5;91,3;88,1;
Borås;1490;Västra Götalands län;14;Kommunal;Matematik;999;451;548;80,4;78,0;82,3;10,7;10,3;11,0;90,1;90,9;89,4;
