Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Trosa;0488;Södermanlands län;04;Samtliga;Svenska;166;81;85;94,0;100,0;88,2;12,5;14,1;11,0;96,0;95,3;96,6;
Trosa;0488;Södermanlands län;04;Kommunal;Svenska som andraspråk;10;..;..;..;..;..;11,0;..;..;90,9;..;..;
Trosa;0488;Södermanlands län;04;Kommunal;Engelska;173;84;89;97,1;~100;~100;15,8;16,3;15,4;94,0;91,3;96,7;
Trosa;0488;Södermanlands län;04;Kommunal;Svenska;166;81;85;94,0;100,0;88,2;12,5;14,1;11,0;96,0;95,3;96,6;
Trosa;0488;Södermanlands län;04;Kommunal;Matematik;146;73;73;71,9;78,1;65,8;8,8;9,6;8,0;79,3;79,3;79,3;
Tyresö;0138;Stockholms län;01;Samtliga;Svenska;609;305;304;96,1;96,4;95,7;13,7;14,3;13,1;92,3;92,1;92,4;
Tyresö;0138;Stockholms län;01;Samtliga;Matematik;641;314;327;87,4;83,1;91,4;12,0;11,2;12,7;87,9;87,2;88,6;
Tyresö;0138;Stockholms län;01;Samtliga;Engelska;664;325;339;94,6;94,5;94,7;15,7;15,6;15,8;91,1;90,3;91,9;
Tyresö;0138;Stockholms län;01;Samtliga;Svenska som andraspråk;57;25;32;71,9;60,0;81,3;8,5;7,1;9,5;82,6;86,2;80,0;
Tyresö;0138;Stockholms län;01;Kommunal;Svenska som andraspråk;44;20;24;70,5;60,0;79,2;8,0;6,8;9,1;78,6;83,3;75,0;
Tyresö;0138;Stockholms län;01;Kommunal;Engelska;523;247;276;93,1;92,7;93,5;15,2;14,9;15,4;89,7;88,2;91,1;
Tyresö;0138;Stockholms län;01;Kommunal;Matematik;510;246;264;86,9;82,9;90,5;11,9;11,0;12,7;87,5;87,9;87,1;
Tyresö;0138;Stockholms län;01;Kommunal;Svenska;486;238;248;95,9;96,6;95,2;13,6;14,2;13,0;92,2;93,0;91,5;
Tyresö;0138;Stockholms län;01;Enskild;Svenska som andraspråk;13;..;..;~100;..;..;10,0;..;..;100,0;..;..;
Tyresö;0138;Stockholms län;01;Enskild;Svenska;123;67;56;~100;~100;~100;13,9;14,6;13,1;92,5;89,3;96,6;
Tyresö;0138;Stockholms län;01;Enskild;Engelska;141;78;63;100,0;100,0;100,0;17,6;17,6;17,6;96,6;97,5;95,5;
Tyresö;0138;Stockholms län;01;Enskild;Matematik;131;68;63;89,3;..;~100;12,3;11,8;12,8;89,7;85,0;95,5;
Täby;0160;Stockholms län;01;Samtliga;Svenska;1 258;611;647;97,1;98,9;95,5;14,5;15,4;13,6;91,2;91,9;90,6;
Täby;0160;Stockholms län;01;Samtliga;Matematik;1 278;607;671;92,7;91,8;93,6;13,8;13,6;14,0;89,7;89,7;89,8;
Täby;0160;Stockholms län;01;Samtliga;Engelska;1 283;610;673;99,1;99,2;99,1;17,4;17,4;17,3;90,1;90,1;90,1;
Täby;0160;Stockholms län;01;Samtliga;Svenska som andraspråk;37;..;..;83,8;..;78,6;10,5;..;9,5;82,2;..;84,8;
Täby;0160;Stockholms län;01;Kommunal;Matematik;527;263;264;94,5;93,5;95,5;14,2;14,1;14,3;93,6;94,9;92,3;
Täby;0160;Stockholms län;01;Kommunal;Svenska som andraspråk;11;..;..;..;..;..;9,3;..;8,5;61,1;..;71,4;
Täby;0160;Stockholms län;01;Kommunal;Svenska;522;263;259;98,9;~100;..;15,3;16,2;14,3;95,8;96,3;95,2;
Täby;0160;Stockholms län;01;Kommunal;Engelska;529;265;264;98,9;~100;~100;17,2;17,3;17,1;94,0;95,7;92,3;
Täby;0160;Stockholms län;01;Enskild;Matematik;751;344;407;91,5;90,4;92,4;13,6;13,3;13,9;87,2;86,0;88,3;
Täby;0160;Stockholms län;01;Enskild;Svenska som andraspråk;26;..;..;~100;..;~100;11,1;..;10,0;96,3;..;94,7;
Täby;0160;Stockholms län;01;Enskild;Svenska;736;348;388;95,9;98,3;93,8;14,0;14,9;13,2;88,2;88,8;87,8;
Täby;0160;Stockholms län;01;Enskild;Engelska;754;345;409;99,3;~100;~100;17,5;17,6;17,5;87,6;86,3;88,7;
Töreboda;1473;Västra Götalands län;14;Samtliga;Engelska;72;35;37;~100;~100;~100;15,2;15,4;15,0;90,0;89,7;90,2;
Töreboda;1473;Västra Götalands län;14;Samtliga;Matematik;65;31;34;87,7;~100;..;11,1;11,5;10,7;81,3;79,5;82,9;
Töreboda;1473;Västra Götalands län;14;Samtliga;Svenska som andraspråk;10;..;..;..;..;..;10,8;..;..;83,3;..;..;
Töreboda;1473;Västra Götalands län;14;Samtliga;Svenska;62;31;31;85,5;~100;..;10,6;12,8;8,4;91,2;88,6;93,9;
Töreboda;1473;Västra Götalands län;14;Kommunal;Svenska som andraspråk;10;..;..;..;..;..;10,8;..;..;83,3;..;..;
Töreboda;1473;Västra Götalands län;14;Kommunal;Engelska;72;35;37;~100;~100;~100;15,2;15,4;15,0;90,0;89,7;90,2;
Töreboda;1473;Västra Götalands län;14;Kommunal;Svenska;62;31;31;85,5;~100;..;10,6;12,8;8,4;91,2;88,6;93,9;
Töreboda;1473;Västra Götalands län;14;Kommunal;Matematik;65;31;34;87,7;~100;..;11,1;11,5;10,7;81,3;79,5;82,9;
Uddevalla;1485;Västra Götalands län;14;Samtliga;Svenska som andraspråk;90;39;51;73,3;84,6;64,7;8,3;9,7;7,2;90,0;90,7;89,5;
Uddevalla;1485;Västra Götalands län;14;Samtliga;Svenska;517;236;281;92,6;96,6;89,3;12,4;13,6;11,4;93,0;92,2;93,7;
Uddevalla;1485;Västra Götalands län;14;Samtliga;Matematik;602;274;328;83,4;83,2;83,5;10,8;10,7;10,8;91,8;91,6;91,9;
Uddevalla;1485;Västra Götalands län;14;Samtliga;Engelska;610;279;331;97,0;97,1;97,0;15,1;14,8;15,3;93,0;93,3;92,7;
Uddevalla;1485;Västra Götalands län;14;Kommunal;Svenska;434;197;237;92,2;96,4;88,6;12,2;13,5;11,1;92,9;91,2;94,4;
Uddevalla;1485;Västra Götalands län;14;Kommunal;Svenska som andraspråk;77;37;40;72,7;86,5;60,0;8,3;10,0;6,8;88,5;90,2;87,0;
Uddevalla;1485;Västra Götalands län;14;Kommunal;Matematik;509;234;275;83,5;84,6;82,5;10,7;10,8;10,6;91,9;91,1;92,6;
Uddevalla;1485;Västra Götalands län;14;Kommunal;Engelska;516;239;277;96,7;97,1;96,4;15,0;14,8;15,2;93,1;93,0;93,3;
Uddevalla;1485;Västra Götalands län;14;Enskild;Engelska;94;40;54;~100;~100;100,0;15,7;14,9;16,3;92,2;95,2;90,0;
Uddevalla;1485;Västra Götalands län;14;Enskild;Matematik;93;40;53;82,8;75,0;88,7;11,2;9,9;12,2;91,2;95,2;88,3;
Uddevalla;1485;Västra Götalands län;14;Enskild;Svenska;83;39;44;~100;~100;~100;13,4;13,9;12,9;93,3;97,5;89,8;
Uddevalla;1485;Västra Götalands län;14;Enskild;Svenska som andraspråk;13;..;..;~100;..;..;8,3;..;8,9;100,0;..;100,0;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;Engelska;229;101;128;96,5;~100;..;15,0;14,8;15,2;90,5;89,4;91,4;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;Matematik;231;101;130;75,3;74,3;76,2;9,4;8,9;9,8;91,3;89,4;92,9;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;Svenska;215;98;117;91,2;94,9;88,0;12,1;13,0;11,3;95,1;95,1;95,1;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;Svenska som andraspråk;19;..;..;57,9;..;..;6,8;..;5,6;70,4;..;70,6;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;Engelska;229;101;128;96,5;~100;..;15,0;14,8;15,2;90,5;89,4;91,4;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;Matematik;231;101;130;75,3;74,3;76,2;9,4;8,9;9,8;91,3;89,4;92,9;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;Svenska;215;98;117;91,2;94,9;88,0;12,1;13,0;11,3;95,1;95,1;95,1;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;Svenska som andraspråk;19;..;..;57,9;..;..;6,8;..;5,6;70,4;..;70,6;
Umeå;2480;Västerbottens län;24;Samtliga;Svenska som andraspråk;60;26;34;63,3;61,5;64,7;7,3;7,3;7,4;87,0;86,7;87,2;
Umeå;2480;Västerbottens län;24;Samtliga;Svenska;1 332;637;695;96,1;98,4;94,0;13,6;14,6;12,6;92,1;91,7;92,5;
Umeå;2480;Västerbottens län;24;Samtliga;Matematik;1 359;639;720;90,4;90,9;89,9;12,7;12,6;12,8;89,7;88,1;91,1;
Umeå;2480;Västerbottens län;24;Samtliga;Engelska;1 384;648;736;98,6;98,5;98,6;16,5;16,6;16,4;91,4;89,5;93,2;
Umeå;2480;Västerbottens län;24;Kommunal;Svenska;1 027;479;548;95,7;98,1;93,6;13,5;14,5;12,5;92,4;91,6;93,0;
Umeå;2480;Västerbottens län;24;Kommunal;Matematik;1 075;493;582;89,5;90,3;88,8;12,4;12,4;12,5;91,3;89,6;92,7;
Umeå;2480;Västerbottens län;24;Kommunal;Engelska;1 074;490;584;98,5;98,2;98,8;16,4;16,4;16,4;91,3;89,3;93,0;
Umeå;2480;Västerbottens län;24;Kommunal;Svenska som andraspråk;57;23;34;61,4;56,5;64,7;7,1;6,8;7,4;86,4;85,2;87,2;
Umeå;2480;Västerbottens län;24;Enskild;Engelska;310;158;152;~100;~100;~100;17,0;17,4;16,6;92,0;90,3;93,8;
Umeå;2480;Västerbottens län;24;Enskild;Matematik;284;146;138;93,7;93,2;94,2;13,6;13,2;13,9;84,3;83,4;85,2;
Umeå;2480;Västerbottens län;24;Enskild;Svenska;305;158;147;97,4;~100;..;13,9;14,9;12,8;91,3;91,9;90,7;
Umeå;2480;Västerbottens län;24;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Upplands Väsby;0114;Stockholms län;01;Samtliga;Engelska;511;239;272;97,5;97,1;97,8;16,3;16,3;16,4;93,2;91,2;95,1;
Upplands Väsby;0114;Stockholms län;01;Samtliga;Matematik;500;238;262;85,4;84,9;85,9;11,6;11,3;11,9;91,2;90,8;91,6;
Upplands Väsby;0114;Stockholms län;01;Samtliga;Svenska;444;212;232;93,5;94,8;92,2;12,9;13,9;12,0;93,5;92,2;94,7;
Upplands Väsby;0114;Stockholms län;01;Samtliga;Svenska som andraspråk;59;28;31;76,3;78,6;74,2;9,1;9,8;8,5;80,8;87,5;75,6;
Upplands Väsby;0114;Stockholms län;01;Kommunal;Svenska som andraspråk;28;13;15;67,9;..;..;7,9;9,0;7,0;73,7;81,3;68,2;
Upplands Väsby;0114;Stockholms län;01;Kommunal;Svenska;186;96;90;89,8;91,7;87,8;12,3;13,0;11,4;91,2;91,4;90,9;
Upplands Väsby;0114;Stockholms län;01;Kommunal;Engelska;217;104;113;94,5;94,2;94,7;15,3;15,3;15,3;89,7;86,0;93,4;
Upplands Väsby;0114;Stockholms län;01;Kommunal;Matematik;210;103;107;81,4;82,5;80,4;10,6;10,6;10,7;86,8;85,1;88,4;
Upplands Väsby;0114;Stockholms län;01;Enskild;Engelska;294;135;159;~100;~100;100,0;17,0;17,0;17,1;96,1;95,7;96,4;
Upplands Väsby;0114;Stockholms län;01;Enskild;Matematik;290;135;155;88,3;86,7;89,7;12,3;11,8;12,7;94,8;95,7;93,9;
Upplands Väsby;0114;Stockholms län;01;Enskild;Svenska;258;116;142;96,1;~100;..;13,4;14,6;12,4;95,2;92,8;97,3;
Upplands Väsby;0114;Stockholms län;01;Enskild;Svenska som andraspråk;31;15;16;83,9;~100;~100;10,2;10,5;9,8;88,6;93,8;84,2;
Upplands-Bro;0139;Stockholms län;01;Samtliga;Engelska;328;158;170;98,5;~100;~100;15,8;15,8;15,8;93,7;92,9;94,4;
Upplands-Bro;0139;Stockholms län;01;Samtliga;Matematik;320;155;165;78,1;76,1;80,0;10,3;10,0;10,7;91,4;91,2;91,7;
Upplands-Bro;0139;Stockholms län;01;Samtliga;Svenska;282;136;146;94,3;~100;..;12,9;14,1;11,7;96,6;94,4;98,6;
Upplands-Bro;0139;Stockholms län;01;Samtliga;Svenska som andraspråk;48;21;27;52,1;66,7;40,7;6,5;8,3;5,0;82,8;80,8;84,4;
Upplands-Bro;0139;Stockholms län;01;Kommunal;Engelska;279;131;148;98,2;~100;~100;15,7;15,6;15,7;93,3;92,9;93,7;
Upplands-Bro;0139;Stockholms län;01;Kommunal;Matematik;269;126;143;77,7;77,0;78,3;10,2;10,1;10,3;90,0;89,4;90,5;
Upplands-Bro;0139;Stockholms län;01;Kommunal;Svenska;233;109;124;93,6;~100;..;12,7;14,0;11,5;96,3;94,0;98,4;
Upplands-Bro;0139;Stockholms län;01;Kommunal;Svenska som andraspråk;47;20;27;51,1;65,0;40,7;6,4;8,3;5,0;82,5;80,0;84,4;
Upplands-Bro;0139;Stockholms län;01;Enskild;Matematik;51;29;22;80,4;..;~100;10,9;9,3;13,1;100,0;100,0;100,0;
Upplands-Bro;0139;Stockholms län;01;Enskild;Engelska;49;27;22;100,0;100,0;100,0;16,6;16,7;16,5;96,1;93,1;100,0;
Upplands-Bro;0139;Stockholms län;01;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Upplands-Bro;0139;Stockholms län;01;Enskild;Svenska;49;27;22;~100;100,0;~100;13,7;14,4;12,8;98,0;96,4;100,0;
Uppsala;0380;Uppsala län;03;Samtliga;Svenska;2 295;1 150;1 145;94,6;97,8;91,3;13,7;14,8;12,5;91,0;92,4;89,5;
Uppsala;0380;Uppsala län;03;Samtliga;Svenska som andraspråk;251;107;144;72,1;84,1;63,2;8,3;10,0;7,1;83,1;78,7;86,7;
Uppsala;0380;Uppsala län;03;Samtliga;Engelska;2 529;1 234;1 295;98,3;98,4;98,3;16,4;16,5;16,3;89,5;89,4;89,6;
Uppsala;0380;Uppsala län;03;Samtliga;Matematik;2 513;1 231;1 282;87,5;87,7;87,2;12,5;12,6;12,4;89,0;89,2;88,7;
Uppsala;0380;Uppsala län;03;Kommunal;Svenska som andraspråk;225;95;130;71,6;83,2;63,1;8,3;10,0;7,0;82,7;77,2;87,2;
Uppsala;0380;Uppsala län;03;Kommunal;Svenska;1 596;771;825;93,6;97,5;89,9;13,4;14,5;12,3;91,0;92,8;89,5;
Uppsala;0380;Uppsala län;03;Kommunal;Matematik;1 808;854;954;85,7;85,4;86,1;12,0;11,9;12,0;89,3;89,5;89,1;
Uppsala;0380;Uppsala län;03;Kommunal;Engelska;1 799;841;958;97,8;97,6;97,9;15,9;15,9;15,9;88,8;88,2;89,4;
Uppsala;0380;Uppsala län;03;Enskild;Matematik;705;377;328;91,9;93,1;90,5;13,9;14,1;13,6;88,1;88,5;87,7;
Uppsala;0380;Uppsala län;03;Enskild;Engelska;730;393;337;~100;100,0;~100;17,6;17,8;17,4;91,3;92,3;90,1;
Uppsala;0380;Uppsala län;03;Enskild;Svenska;699;379;320;96,7;98,4;94,7;14,3;15,5;13,0;90,8;91,8;89,6;
Uppsala;0380;Uppsala län;03;Enskild;Svenska som andraspråk;26;12;14;76,9;~100;..;8,8;10,4;7,3;86,7;92,3;82,4;
Uppvidinge;0760;Kronobergs län;07;Samtliga;Engelska;91;40;51;94,5;~100;~100;14,0;13,9;14,1;94,8;95,2;94,4;
Uppvidinge;0760;Kronobergs län;07;Samtliga;Matematik;92;42;50;92,4;..;~100;12,3;11,8;12,8;95,8;100,0;92,6;
Uppvidinge;0760;Kronobergs län;07;Samtliga;Svenska;65;32;33;92,3;100,0;84,8;13,3;15,2;11,6;91,5;97,0;86,8;
Uppvidinge;0760;Kronobergs län;07;Samtliga;Svenska som andraspråk;25;..;..;~100;..;~100;9,4;..;10,0;100,0;..;100,0;
Uppvidinge;0760;Kronobergs län;07;Kommunal;Svenska som andraspråk;25;..;..;~100;..;~100;9,4;..;10,0;100,0;..;100,0;
Uppvidinge;0760;Kronobergs län;07;Kommunal;Svenska;65;32;33;92,3;100,0;84,8;13,3;15,2;11,6;91,5;97,0;86,8;
Uppvidinge;0760;Kronobergs län;07;Kommunal;Matematik;92;42;50;92,4;..;~100;12,3;11,8;12,8;95,8;100,0;92,6;
Uppvidinge;0760;Kronobergs län;07;Kommunal;Engelska;91;40;51;94,5;~100;~100;14,0;13,9;14,1;94,8;95,2;94,4;
Vadstena;0584;Östergötlands län;05;Samtliga;Matematik;61;28;33;85,2;..;~100;11,1;11,0;11,1;95,3;96,6;94,3;
Vadstena;0584;Östergötlands län;05;Samtliga;Svenska;55;27;28;~100;100,0;~100;15,0;15,9;14,1;88,7;93,1;84,8;
Vadstena;0584;Östergötlands län;05;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Vadstena;0584;Östergötlands län;05;Samtliga;Engelska;58;27;31;~100;100,0;~100;16,3;16,4;16,2;90,6;93,1;88,6;
Vadstena;0584;Östergötlands län;05;Kommunal;Engelska;58;27;31;~100;100,0;~100;16,3;16,4;16,2;90,6;93,1;88,6;
Vadstena;0584;Östergötlands län;05;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Vadstena;0584;Östergötlands län;05;Kommunal;Svenska;55;27;28;~100;100,0;~100;15,0;15,9;14,1;88,7;93,1;84,8;
Vadstena;0584;Östergötlands län;05;Kommunal;Matematik;61;28;33;85,2;..;~100;11,1;11,0;11,1;95,3;96,6;94,3;
Vaggeryd;0665;Jönköpings län;06;Samtliga;Svenska;158;80;78;94,3;~100;..;13,0;13,9;12,0;93,5;95,2;91,8;
Vaggeryd;0665;Jönköpings län;06;Samtliga;Matematik;175;88;87;88,6;93,2;83,9;11,1;11,8;10,5;91,6;91,7;91,6;
Vaggeryd;0665;Jönköpings län;06;Samtliga;Engelska;174;87;87;100,0;100,0;100,0;16,0;16,5;15,5;91,1;90,6;91,6;
Vaggeryd;0665;Jönköpings län;06;Samtliga;Svenska som andraspråk;19;..;..;~100;100,0;..;12,1;14,1;..;86,4;91,7;..;
Vaggeryd;0665;Jönköpings län;06;Kommunal;Svenska;158;80;78;94,3;~100;..;13,0;13,9;12,0;93,5;95,2;91,8;
Vaggeryd;0665;Jönköpings län;06;Kommunal;Matematik;175;88;87;88,6;93,2;83,9;11,1;11,8;10,5;91,6;91,7;91,6;
Vaggeryd;0665;Jönköpings län;06;Kommunal;Engelska;174;87;87;100,0;100,0;100,0;16,0;16,5;15,5;91,1;90,6;91,6;
Vaggeryd;0665;Jönköpings län;06;Kommunal;Svenska som andraspråk;19;..;..;~100;100,0;..;12,1;14,1;..;86,4;91,7;..;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;Engelska;66;29;37;~100;~100;~100;15,4;15,6;15,3;91,7;90,6;92,5;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;Matematik;67;28;39;85,1;~100;..;11,6;11,6;11,7;93,1;87,5;97,5;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;Svenska;59;30;29;~100;100,0;~100;13,0;14,3;11,6;88,1;96,8;80,6;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;Svenska;59;30;29;~100;100,0;~100;13,0;14,3;11,6;88,1;96,8;80,6;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;Matematik;67;28;39;85,1;~100;..;11,6;11,6;11,7;93,1;87,5;97,5;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;Engelska;66;29;37;~100;~100;~100;15,4;15,6;15,3;91,7;90,6;92,5;
Vallentuna;0115;Stockholms län;01;Samtliga;Svenska som andraspråk;24;..;..;54,2;..;..;6,5;..;6,7;92,3;..;94,1;
Vallentuna;0115;Stockholms län;01;Samtliga;Matematik;399;195;204;89,2;88,7;89,7;12,6;12,4;12,8;92,8;90,3;95,3;
Vallentuna;0115;Stockholms län;01;Samtliga;Engelska;400;199;201;98,3;..;~100;16,3;16,3;16,3;93,0;92,1;93,9;
Vallentuna;0115;Stockholms län;01;Samtliga;Svenska;375;188;187;96,5;~100;..;13,8;14,9;12,7;92,8;90,8;94,9;
Vallentuna;0115;Stockholms län;01;Kommunal;Svenska som andraspråk;24;..;..;54,2;..;..;6,5;..;6,7;92,3;..;94,1;
Vallentuna;0115;Stockholms län;01;Kommunal;Svenska;259;120;139;97,3;~100;..;13,6;14,5;12,7;95,9;94,5;97,2;
Vallentuna;0115;Stockholms län;01;Kommunal;Matematik;280;125;155;89,6;87,2;91,6;12,8;12,3;13,2;94,6;91,9;96,9;
Vallentuna;0115;Stockholms län;01;Kommunal;Engelska;278;126;152;~100;~100;100,0;16,4;16,3;16,5;93,9;92,6;95,0;
Vallentuna;0115;Stockholms län;01;Enskild;Matematik;119;70;49;88,2;91,4;83,7;12,1;12,5;11,5;88,8;87,5;90,7;
Vallentuna;0115;Stockholms län;01;Enskild;Engelska;122;73;49;~100;~100;~100;15,9;16,2;15,6;91,0;91,3;90,7;
Vallentuna;0115;Stockholms län;01;Enskild;Svenska;116;68;48;94,8;~100;..;14,3;15,5;12,6;86,6;85,0;88,9;
Vansbro;2021;Dalarnas län;20;Samtliga;Svenska;68;32;36;92,6;~100;~100;11,5;11,7;11,3;88,3;84,2;92,3;
Vansbro;2021;Dalarnas län;20;Samtliga;Matematik;76;36;40;~100;~100;100,0;11,7;10,8;12,6;88,4;83,7;93,0;
Vansbro;2021;Dalarnas län;20;Samtliga;Engelska;77;37;40;93,5;~100;~100;14,5;13,2;15,7;89,5;86,0;93,0;
Vansbro;2021;Dalarnas län;20;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Vansbro;2021;Dalarnas län;20;Kommunal;Svenska;68;32;36;92,6;~100;~100;11,5;11,7;11,3;88,3;84,2;92,3;
Vansbro;2021;Dalarnas län;20;Kommunal;Matematik;76;36;40;~100;~100;100,0;11,7;10,8;12,6;88,4;83,7;93,0;
Vansbro;2021;Dalarnas län;20;Kommunal;Engelska;77;37;40;93,5;~100;~100;14,5;13,2;15,7;89,5;86,0;93,0;
Vansbro;2021;Dalarnas län;20;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Vara;1470;Västra Götalands län;14;Samtliga;Svenska som andraspråk;15;..;..;~100;..;..;9,8;..;..;88,2;..;..;
Vara;1470;Västra Götalands län;14;Samtliga;Engelska;145;70;75;~100;~100;~100;14,5;14,4;14,6;88,4;88,6;88,2;
Vara;1470;Västra Götalands län;14;Samtliga;Matematik;140;69;71;83,6;79,7;87,3;11,1;10,5;11,6;85,4;87,3;83,5;
Vara;1470;Västra Götalands län;14;Samtliga;Svenska;131;65;66;87,0;89,2;84,8;11,4;12,5;10,4;89,1;91,5;86,8;
Vara;1470;Västra Götalands län;14;Kommunal;Svenska som andraspråk;15;..;..;~100;..;..;9,8;..;..;88,2;..;..;
Vara;1470;Västra Götalands län;14;Kommunal;Svenska;131;65;66;87,0;89,2;84,8;11,4;12,5;10,4;89,1;91,5;86,8;
Vara;1470;Västra Götalands län;14;Kommunal;Matematik;140;69;71;83,6;79,7;87,3;11,1;10,5;11,6;85,4;87,3;83,5;
Vara;1470;Västra Götalands län;14;Kommunal;Engelska;145;70;75;~100;~100;~100;14,5;14,4;14,6;88,4;88,6;88,2;
Varberg;1383;Hallands län;13;Samtliga;Matematik;685;301;384;87,0;88,0;86,2;12,2;12,0;12,3;89,0;85,8;91,6;
Varberg;1383;Hallands län;13;Samtliga;Svenska som andraspråk;27;13;14;81,5;~100;~100;10,8;11,3;10,4;81,8;86,7;77,8;
Varberg;1383;Hallands län;13;Samtliga;Svenska;669;298;371;94,9;~100;..;13,4;14,6;12,5;90,8;88,7;92,5;
Varberg;1383;Hallands län;13;Samtliga;Engelska;712;320;392;95,8;96,9;94,9;15,3;15,2;15,4;92,5;91,2;93,6;
Varberg;1383;Hallands län;13;Kommunal;Engelska;623;276;347;95,8;96,7;95,1;15,3;15,2;15,4;92,3;90,8;93,5;
Varberg;1383;Hallands län;13;Kommunal;Matematik;600;259;341;87,5;89,2;86,2;12,3;12,2;12,3;88,9;85,2;91,9;
Varberg;1383;Hallands län;13;Kommunal;Svenska som andraspråk;22;12;10;77,3;~100;..;9,7;11,0;8,0;81,5;85,7;76,9;
Varberg;1383;Hallands län;13;Kommunal;Svenska;588;255;333;94,6;~100;..;13,3;14,5;12,3;90,7;87,9;93,0;
Varberg;1383;Hallands län;13;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Varberg;1383;Hallands län;13;Enskild;Svenska;81;43;38;~100;~100;~100;14,4;15,1;13,6;91,0;93,5;88,4;
Varberg;1383;Hallands län;13;Enskild;Matematik;85;42;43;83,5;81,0;86,0;11,5;11,0;12,0;89,5;89,4;89,6;
Varberg;1383;Hallands län;13;Enskild;Engelska;89;44;45;~100;~100;~100;15,5;15,6;15,4;93,7;93,6;93,8;
Vaxholm;0187;Stockholms län;01;Samtliga;Svenska;127;59;68;~100;100,0;~100;14,4;15,7;13,3;91,4;89,4;93,2;
Vaxholm;0187;Stockholms län;01;Samtliga;Matematik;126;59;67;~100;100,0;~100;14,5;14,6;14,3;86,9;86,8;87,0;
Vaxholm;0187;Stockholms län;01;Samtliga;Engelska;132;59;73;~100;100,0;~100;17,0;17,4;16,6;91,0;86,8;94,8;
Vaxholm;0187;Stockholms län;01;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Vaxholm;0187;Stockholms län;01;Kommunal;Svenska;127;59;68;~100;100,0;~100;14,4;15,7;13,3;91,4;89,4;93,2;
Vaxholm;0187;Stockholms län;01;Kommunal;Matematik;126;59;67;~100;100,0;~100;14,5;14,6;14,3;86,9;86,8;87,0;
Vaxholm;0187;Stockholms län;01;Kommunal;Engelska;132;59;73;~100;100,0;~100;17,0;17,4;16,6;91,0;86,8;94,8;
Vaxholm;0187;Stockholms län;01;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Vellinge;1233;Skåne län;12;Samtliga;Engelska;480;222;258;~100;100,0;~100;16,8;16,9;16,7;93,9;91,0;96,6;
Vellinge;1233;Skåne län;12;Samtliga;Matematik;480;227;253;92,9;91,2;94,5;13,1;12,8;13,3;93,9;93,0;94,8;
Vellinge;1233;Skåne län;12;Samtliga;Svenska;473;223;250;96,4;~100;..;13,7;14,7;12,8;94,2;92,5;95,8;
Vellinge;1233;Skåne län;12;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Vellinge;1233;Skåne län;12;Kommunal;Svenska;323;150;173;96,3;~100;..;13,9;15,0;12,9;94,4;93,2;95,6;
Vellinge;1233;Skåne län;12;Kommunal;Matematik;328;155;173;91,5;91,0;91,9;12,9;12,6;13,0;94,0;94,5;93,5;
