Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2017/18
 
Under vårterminen 2018 fanns indikationer på att vissa av de nationella delproven i årskurs 9 hade varit åtkomliga på förhand.
Skolverket rekommenderade då att skolan skulle använda ersättningsprov om man fick kännedom om att provet eller delar av provet
blivit känt bland eleverna på skolan. Resultaten från ersättningsprov samlas inte in. Istället gavs instruktionen vid insamling
av resultaten att ange att "eleven ej deltagit", vilket syftar på att ordinarie prov inte använts.
För provbetyget i matematik är den totala andelen elever som har rapporterats in som "eleven ej deltagit" så stor (närmare 76 procent)
att resultaten inte kan publiceras med den kvalitet som gäller för officiell statistik enligt 3 a § lagen (2001:99) om den officiella statistiken.

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Berg;2326;Jämtlands län;23;Samtliga;Svenska;44,4;43,2;45,7;32;16;16;~100;~100;~100;13,4;13,6;13,1;
Berg;2326;Jämtlands län;23;Kommunal;Engelska;40,7;42,1;39,5;33;16;17;~100;~100;~100;12,9;12,0;13,7;
Berg;2326;Jämtlands län;23;Kommunal;Svenska;44,4;43,2;45,7;32;16;16;~100;~100;~100;13,4;13,6;13,1;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska;100,0;100,0;100,0;24;11;13;~100;100,0;~100;12,1;12,5;11,7;
Bjurholm;2403;Västerbottens län;24;Samtliga;Engelska;96,4;100,0;92,3;27;15;12;~100;~100;~100;13,2;11,3;15,6;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska;100,0;100,0;100,0;24;11;13;~100;100,0;~100;12,1;12,5;11,7;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Bjurholm;2403;Västerbottens län;24;Kommunal;Engelska;96,4;100,0;92,3;27;15;12;~100;~100;~100;13,2;11,3;15,6;
Bjuv;1260;Skåne län;12;Samtliga;Svenska som andraspråk;90,6;100,0;78,6;29;18;11;69,0;..;..;8,1;7,4;9,3;
Bjuv;1260;Skåne län;12;Samtliga;Engelska;89,9;91,8;88,2;160;78;82;84,4;82,1;86,6;12,4;12,3;12,5;
Bjuv;1260;Skåne län;12;Samtliga;Svenska;91,1;94,0;88,6;133;63;70;88,7;90,5;87,1;11,6;12,5;10,8;
Bjuv;1260;Skåne län;12;Kommunal;Svenska;91,1;94,0;88,6;133;63;70;88,7;90,5;87,1;11,6;12,5;10,8;
Bjuv;1260;Skåne län;12;Kommunal;Engelska;89,9;91,8;88,2;160;78;82;84,4;82,1;86,6;12,4;12,3;12,5;
Bjuv;1260;Skåne län;12;Kommunal;Svenska som andraspråk;90,6;100,0;78,6;29;18;11;69,0;..;..;8,1;7,4;9,3;
Boden;2582;Norrbottens län;25;Samtliga;Svenska;81,1;85,0;76,6;228;130;98;95,6;~100;..;13,5;14,4;12,2;
Boden;2582;Norrbottens län;25;Samtliga;Svenska som andraspråk;74,4;84,6;70,0;32;11;21;81,3;100,0;71,4;9,9;11,8;8,9;
Boden;2582;Norrbottens län;25;Samtliga;Engelska;87,7;92,8;82,3;284;154;130;92,6;~100;..;13,9;14,4;13,3;
Boden;2582;Norrbottens län;25;Kommunal;Svenska;89,6;93,2;84,3;180;110;70;96,1;~100;..;13,5;14,5;12,1;
Boden;2582;Norrbottens län;25;Kommunal;Svenska som andraspråk;76,2;84,6;72,4;32;11;21;81,3;100,0;71,4;9,9;11,8;8,9;
Boden;2582;Norrbottens län;25;Kommunal;Engelska;86,4;92,4;79,5;210;121;89;91,9;~100;..;13,5;14,3;12,3;
Boden;2582;Norrbottens län;25;Enskild;Engelska;91,4;94,3;89,1;74;33;41;~100;~100;~100;15,2;14,9;15,5;
Boden;2582;Norrbottens län;25;Enskild;Svenska;60,0;57,1;62,2;48;20;28;~100;100,0;~100;13,2;14,3;12,4;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Engelska;90,6;92,0;89,3;96;46;50;94,8;~100;~100;14,7;14,9;14,6;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska;94,0;93,8;94,2;94;45;49;~100;100,0;~100;14,3;15,3;13,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska;94,0;93,8;94,2;94;45;49;~100;100,0;~100;14,3;15,3;13,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Engelska;90,6;92,0;89,3;96;46;50;94,8;~100;~100;14,7;14,9;14,6;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska;93,2;93,0;93,5;233;118;115;93,1;~100;..;12,3;13,5;11,0;
